full_nm	brand_nm	keyword	store_nm	addr	poiid	lon_x	lat_y	tel_no	fax_no	is_dining	is_parking	is_lavatory	is_atm	is_7wifi	is_ice	is_hot_dog	is_health_stations	is_ice_cream	is_open_store	is_fruit	is_city_cafe	is_union_pay	is_organic	is_corn	is_makeup	is_muji	is_mister_donuts	is_star_bucks	is_ibon	is_tea	is_sweet_potato	special_store_kind	store_url	data_time
統一超商東太陽	統一超商	7-11	東太陽	台東縣台東市中華路二段753號1樓	120685              	121.12705299999999	22.738844999999998	(089)352313         	(089)351729         	Y	N	Y	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東引	統一超商	7-11	東引	連江縣東引鄉中柳村85與86號1樓	123536              	120.488598	26.367482	(083)677011         	(083)676388         	Y	N	N	N	Y	N	N	Y	N	N	Y	Y	N	Y	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東平驛	統一超商	7-11	東平驛	台中市中區台灣大道一段531號	120560              	120.67683099999999	24.144429	(04)22298340        	(04)22294375        	Y	N	Y	Y	Y	Y	N	N	Y	N	Y	Y	Y	N	N	Y	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東正	統一超商	7-11	東正	桃園市平鎮區平東路661號	162793              	121.239588	24.912328	(03)4606888         	(03)4607085         	Y	N	Y	Y	Y	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東石	統一超商	7-11	東石	嘉義縣東石鄉永屯村35附18號	950686              	120.173338	23.460380999999998	(05)3734185         	(05)3734433         	Y	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	Y	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東光	統一超商	7-11	東光	台北市松山區南京東路5段15號1樓	174006              	121.557920397751	25.0518919526621	(02)37651082        	(02)27627285        	Y	N	Y	Y	Y	N	Y	N	N	N	Y	Y	N	Y	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東吉	統一超商	7-11	東吉	台北市松山區民生東路五段100號	148579              	121.56030839971599	25.058524975786	(02)27622908        	(02)27625149        	Y	N	Y	Y	Y	N	Y	N	N	N	Y	Y	N	Y	Y	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東宇	統一超商	7-11	東宇	雲林縣斗六市文化路538號540號1樓	113296              	120.55767399999999	23.712806999999998	(05)5343868         	(05)5332301         	Y	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東安	統一超商	7-11	東安	台東縣台東市新生里開封街348號1樓	993225              	121.146323	22.763682	(089)346539         	(089)349045         	Y	N	Y	Y	Y	N	Y	Y	Y	N	N	Y	N	N	N	N	Y	N	N	Y	N	Y		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東江	統一超商	7-11	東江	台南市永康區尚頂里23鄰南台街43號1樓	941062              	120.22282	23.022244	(06)2430264         	(06)2430740         	N	N	N	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東宏	統一超商	7-11	東宏	新竹縣竹東鎮中正路217號1樓	144865              	121.09291999999999	24.73565	(03)5102990         	(03)5102008         	Y	N	Y	Y	Y	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東村	統一超商	7-11	東村	台中市太平區東村路200號	151520              	120.724156	24.137487999999998	(04)23511075        	(04)23511125        	Y	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東里	統一超商	7-11	東里	台中市大里區大里路295號	885780              	120.678432	24.097234999999998	(04)24060269        	(04)24072278        	Y	N	Y	Y	Y	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東京	統一超商	7-11	東京	台東縣台東市卑南里更生北路198號	921231              	121.12286907080698	22.780386030216498	(089)228238         	(089)236174         	Y	Y	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東佳	統一超商	7-11	東佳	台東縣台東市長沙街178號180號182號	110161              	121.14170808145398	22.7509169273998	(089)321888         	(089)347961         	Y	N	N	Y	Y	N	Y	Y	N	N	N	Y	N	N	N	Y	Y	N	N	Y	N	Y		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東侑	統一超商	7-11	東侑	台中市北屯區東山路一段396號1樓	131308              	120.73447482598898	24.1769819015938	(04)22391830        	(04)24391065        	Y	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東和	統一超商	7-11	東和	台南市東區東安路291號293號1樓	144968              	120.22714699999999	22.997692999999998	(06)2087403         	(06)2095365         	Y	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東和美	統一超商	7-11	東和美	台東縣太麻里鄉三和村大中寮路68之6號	154057              	121.03975299999999	22.674518	(089)512605         	(089)514517         	Y	N	Y	Y	Y	N	Y	Y	N	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東妮	統一超商	7-11	東妮	新竹市北區東大路3段718號720號1樓	155290              	120.937387	24.840694	(03)5362446         	(03)5364716         	Y	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東定	統一超商	7-11	東定	台東縣台東市豐田里中興路四段406號	914141              	121.094759	22.774507	(089)382946         	(089)383049         	Y	N	Y	Y	Y	Y	N	Y	Y	N	N	Y	Y	N	N	Y	Y	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東昇	統一超商	7-11	東昇	台東縣台東市鐵花里中華路一段542號1樓	160258              	121.149853	22.751047999999997	(089)311100         	(089)311188         	Y	N	Y	Y	Y	N	N	N	Y	N	N	Y	Y	N	N	Y	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東東	統一超商	7-11	東東	南投縣埔里鎮忠孝路138-140號	901776              	120.970227	23.962704	(049)2421161        	(049)2995495        	Y	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東林	統一超商	7-11	東林	高雄市林園區東林西路154號	148878              	120.39180499999999	22.503441	(07)6411785         	(07)6434101         	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東泥	統一超商	7-11	東泥	高雄市苓雅區意誠里三多四路93號	914152              	120.30087999999999	22.612576	(07)2691458         	(07)3388607         	Y	N	N	Y	Y	Y	N	N	N	N	N	Y	Y	N	N	Y	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東河	統一超商	7-11	東河	台東縣東河鄉東河村南東河263號1樓	952833              	121.304079	22.967748999999998	(089)896515         	(089)896521         	Y	N	Y	Y	Y	N	N	N	Y	N	N	N	N	N	N	Y	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東泓	統一超商	7-11	東泓	台中市東區東門里東門路140號	971742              	120.69964999999999	24.127119999999998	(04)22809073        	(04)22808606        	Y	N	Y	Y	Y	Y	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東芳	統一超商	7-11	東芳	彰化縣彰化市東芳里永芳路199號	921161              	120.517601	24.066799	(04)7513705         	(04)7515722         	Y	N	Y	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東亭	統一超商	7-11	東亭	新竹縣竹東鎮和江街2號6號	912765              	121.09629199999999	24.719877999999998	(03)5104097         	(03)5963846         	Y	N	Y	Y	Y	N	N	Y	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東亮	統一超商	7-11	東亮	台東縣台東市連航路88巷31號33號35號1樓	154585              	121.12276999999999	22.770350999999998	(089)233228         	(089)237409         	Y	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東勇	統一超商	7-11	東勇	桃園市八德區東勇街83號	160155              	121.306691	24.963168	(03)3629131         	(03)3612901         	Y	N	N	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東品	統一超商	7-11	東品	新竹市東區食品路146號1樓	996660              	120.97679199999999	24.797601999999998	(03)5618092         	(03)5618029         	Y	N	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東城	統一超商	7-11	東城	台南市東區中華東路二段293號	118660              	120.23092	22.982550999999997	(06)2694483         	(06)2602910         	Y	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東星	統一超商	7-11	東星	台東縣台東市正氣路183號	948720              	121.151557	22.752551	(089)310096         	(089)359833         	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東泉	統一超商	7-11	東泉	台東縣卑南鄉溫泉村龍泉路59號	126476              	121.013887	22.69341	(089)514558         	(089)514557         	Y	N	Y	Y	Y	N	N	N	N	N	N	Y	Y	N	N	Y	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東洋	統一超商	7-11	東洋	台北市士林區中山北路7段14巷19號Ｂ1	959214              	121.532398	25.118896	(02)28753409        	(02)28753283        	Y	N	N	Y	Y	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東洲	統一超商	7-11	東洲	台中市豐原區豐原大道7段488號	953755              	120.71150399999999	24.261917	(04)25285663        	(04)25205067        	Y	Y	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東洸	統一超商	7-11	東洸	桃園市平鎮區平東路27號東光路16之1號1樓	154747              	121.25346499999999	24.918233999999998	(03)4609764         	(03)4604596         	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東科	統一超商	7-11	東科	台南市新市區三舍里大順三路125號1樓	990075              	120.28825099999999	23.102287999999998	(06)5055155         	(06)5056370         	Y	N	N	Y	Y	Y	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東科大	統一超商	7-11	東科大	新北市汐止區新台五路一段96號	151852              	121.64837899999999	25.060247999999998	(02)26969945        	(02)26969944        	Y	N	N	Y	Y	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東美	統一超商	7-11	東美	台南市東山區中興路1號	113517              	120.40311399999999	23.321935	(06)6805521         	(06)6804305         	Y	N	N	Y	Y	N	N	N	Y	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東英	統一超商	7-11	東英	台中市東區自由路四段339號	969026              	120.70550399999999	24.142895	(04)22139200        	(04)22137129        	Y	Y	Y	Y	Y	Y	N	N	Y	N	Y	Y	N	N	N	N	Y	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東風	統一超商	7-11	東風	台中市龍井區遠東街3號	988061              	120.58783299999999	24.191135	(04)26521941        	(04)26520936        	Y	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東香	統一超商	7-11	東香	新竹市香山區頂埔路2號	158749              	120.951515	24.796505	(03)5402700         	(03)5402322         	Y	N	Y	Y	Y	Y	Y	Y	N	N	Y	Y	N	Y	N	N	Y	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東埔	統一超商	7-11	東埔	新竹市香山區牛埔路146號	130936              	120.952349967103	24.799747076525097	(03)5399314         	(03)5402117         	Y	Y	N	Y	Y	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東展	統一超商	7-11	東展	台中市東勢區南平里豐勢路336號	158369              	120.82988499999999	24.253555	(04)25886569        	(04)25888932        	Y	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東泰	統一超商	7-11	東泰	台中市東勢區東蘭路41-5號	111865              	120.826235	24.264699	(04)25774323        	(04)25773580        	Y	N	Y	Y	Y	Y	N	N	Y	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東海	統一超商	7-11	東海	台中市龍井區台灣大道5段3巷43號45號1樓	120294              	120.592787	24.181808	(04)26315975        	(04)26333305        	Y	N	Y	Y	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東海岸	統一超商	7-11	東海岸	花蓮縣吉安鄉海岸路252號254號	900072              	121.59203099999999	23.954165999999997	(03)8514741         	(03)8513414         	Y	N	Y	Y	Y	N	N	Y	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東耕	統一超商	7-11	東耕	台南市白河區河東里9鄰糞箕湖122-35號	967628              	120.42541899999999	23.345273	(06)6832143         	(06)6832590         	Y	Y	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東航	統一超商	7-11	東航	台東縣台東市民生里更生路270號1F	872599              	121.146171	22.760133	(089)338105         	(089)335922         	Y	N	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東偕	統一超商	7-11	東偕	台東縣台東市長沙街303巷1號	167053              	121.140436	22.751264	(089)345172         	(089)346584         	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東崎	統一超商	7-11	東崎	彰化縣鹿港鎮東崎里彰鹿路五段7號	950583              	120.47964499999999	24.048887	(04)7840668         	(04)7751442         	Y	N	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東崙	統一超商	7-11	東崙	台北市中山區八德路二段282號	886059              	121.541676	25.046915	(02)27754769        	(02)27751753        	Y	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東捷	統一超商	7-11	東捷	台東縣台東市豐榮里豐盛路1號	997652              	121.14087199999999	22.745597999999998	(089)326614         	(089)356461         	Y	N	Y	Y	Y	N	Y	Y	Y	N	N	Y	N	N	N	Y	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東敏	統一超商	7-11	東敏	高雄市湖內區湖東里東方路103-1號103-2號	967606              	120.248206	22.879479	(07)6935784         	(07)6937851         	Y	N	N	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東盛	統一超商	7-11	東盛	台東縣台東市自強里更生路391號	873189              	121.142151	22.762468	(089)320745         	(089)334985         	Y	N	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東都	統一超商	7-11	東都	台南市北區成功路140號	117520              	120.204669	22.998628999999998	(06)2220909         	(06)2250908         	Y	N	N	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東凱	統一超商	7-11	東凱	台南市東區東安路102號	996718              	120.22671799999999	22.993444999999998	(06)2091722         	(06)2091841         	Y	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東勝	統一超商	7-11	東勝	台南市東山區東山里235號	932574              	120.405008	23.32603	(06)6805308         	(06)6805310         	Y	N	N	Y	Y	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東博	統一超商	7-11	東博	台東縣台東市民權里中正路414號418號	127033              	121.149937086252	22.7584249535501	(089)348476         	(089)348939         	Y	N	N	Y	Y	N	N	Y	N	N	N	Y	N	N	N	Y	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東喜	統一超商	7-11	東喜	台東縣台東市興安路一段197號1樓	155005              	121.127213	22.790426999999998	(089)239543         	(089)239550         	Y	N	Y	Y	N	N	N	N	Y	N	N	N	Y	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東富	統一超商	7-11	東富	台中市大里區東榮路282號	936185              	120.686093	24.110585999999998	(04)24823721        	(04)24820390        	Y	N	N	Y	Y	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東尊	統一超商	7-11	東尊	雲林縣虎尾鎮惠來里142-3號	174246              	120.48956799999999	23.72355	(05)6226384         	                    	Y	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東復	統一超商	7-11	東復	台北市松山區復興北路313巷25號	165068              	121.546337389566	25.059074977936497	(02)25472325        	(02)25472086        	Y	N	Y	Y	Y	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東晴	統一超商	7-11	東晴	新北市汐止區新台五路2段80號	976390              	121.662341	25.065827	(02)26481974        	(02)26486883        	Y	N	Y	Y	Y	Y	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東森	統一超商	7-11	東森	台南市北區林森路3段76號78號	120386              	120.225016	23.00295	(06)2341552         	(06)2095713         	Y	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東發	統一超商	7-11	東發	台南市東區中華東路3段379號	139232              	120.221481533508	22.9737186961944	(06)2908238         	(06)2907321         	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東華	統一超商	7-11	東華	台北市北投區裕民一路40巷1號	170071              	121.517952	25.116486	(02)28262900        	(02)28238402        	Y	N	Y	Y	Y	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東隆	統一超商	7-11	東隆	屏東縣東港鎮頂中里延平路107號	161206              	120.448653	22.467672999999998	(08)8353434         	(08)8353424         	Y	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東勢	統一超商	7-11	東勢	台北市松山區南京東路4段131號	928793              	121.555025	25.051768	(02)27172789        	(02)25459018        	N	N	N	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東園	統一超商	7-11	東園	台中市烏日區溪南路一段375號	110736              	120.643467	24.079255	(04)23351590        	(04)23354553        	Y	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東敬	統一超商	7-11	東敬	台南市東區莊敬路90號	916516              	120.233021	22.99479	(06)2755113         	(06)2095701         	Y	N	N	Y	Y	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東暉	統一超商	7-11	東暉	台北市信義區忠孝東路4段514號	127723              	121.562485	25.040820999999998	(02)27205019        	(02)27208821        	Y	N	N	Y	Y	N	N	Y	N	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東楨	統一超商	7-11	東楨	台南市白河區白河里19鄰中山路198號	872647              	120.417743	23.35294	(06)6856583         	(06)6856527         	Y	N	N	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東義	統一超商	7-11	東義	台中市北區北平路二段141號1樓	991355              	120.67773899999999	24.171422	(04)22981487        	(04)22981488        	Y	N	N	Y	Y	Y	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東遊季	統一超商	7-11	東遊季	台東縣卑南鄉溫泉路388號	122795              	121.02223301270499	22.695569734651798	(089)511046         	(089)514070         	Y	Y	N	Y	Y	N	N	Y	N	Y	N	N	Y	N	N	Y	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東馳	統一超商	7-11	東馳	台東縣池上鄉中東三路46號1樓	142825              	121.218741130264	23.1227852238686	(089)862291         	(089)863680         	Y	Y	Y	Y	Y	N	N	Y	Y	N	N	Y	N	N	N	Y	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東嘉院	統一超商	7-11	東嘉院	嘉義市東區忠孝路642號(嘉義基督教醫院門診大樓內)	130154              	120.450523658252	23.500737538813098	(05)2777764         	(05)2769061         	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東寧	統一超商	7-11	東寧	屏東縣九如鄉東寧村東寧路225號1樓	971351              	120.489913	22.733458	(08)7396236         	(08)7392248         	Y	N	N	Y	Y	N	N	Y	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東榮	統一超商	7-11	東榮	台北市松山區民生東路5段65號	896241              	121.558171	25.058645	(02)27622216        	(02)27627320        	N	N	N	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東漢	統一超商	7-11	東漢	台東縣台東市正氣北路182號	888099              	121.138921079888	22.7560419452796	(089)357252         	(089)358271         	Y	N	Y	Y	Y	Y	N	N	N	N	N	N	N	N	N	Y	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東福	統一超商	7-11	東福	新竹縣竹東鎮中豐路2段245號	958956              	121.09141	24.723544	(03)5947900         	(03)5940362         	N	N	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東億	統一超商	7-11	東億	雲林縣虎尾鎮光明路3號	170875              	120.45424999999999	23.704629	(05)6337003         	(05)6327880         	Y	Y	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東廣	統一超商	7-11	東廣	台東縣台東市傳廣路496號498號1樓	131685              	121.144031082925	22.768238987791797	(089)233676         	(089)230343         	Y	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東樂	統一超商	7-11	東樂	台東縣台東市山西路一段330號	954574              	121.117752	22.753785	(089)229434         	(089)235267         	Y	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商東衛	統一超商	7-11	東衛	澎湖縣馬公市東衛里19鄰9之2號	113883              	119.59870699999999	23.569174999999998	(06)9217554         	(06)9212491         	Y	N	Y	N	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
