full_nm	brand_nm	keyword	store_nm	addr	poiid	lon_x	lat_y	tel_no	fax_no	is_dining	is_parking	is_lavatory	is_atm	is_7wifi	is_ice	is_hot_dog	is_health_stations	is_ice_cream	is_open_store	is_fruit	is_city_cafe	is_union_pay	is_organic	is_corn	is_makeup	is_muji	is_mister_donuts	is_star_bucks	is_ibon	is_tea	is_sweet_potato	special_store_kind	store_url	data_time
統一超商九曲堂	統一超商	7-11	九曲堂	高雄市大樹區久堂里城隍巷15-8號	135735              	120.421202	22.659678	(07)6523141         	(07)6525505         	Y	N	Y	Y	Y	Y	N	Y	Y	N	N	Y	N	N	N	N	Y	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商九德	統一超商	7-11	九德	台中市烏日區九德里中華路45號47號1樓	165817              	120.641382	24.109982	(04)23363783        	(04)23368649        	Y	N	Y	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商二十張	統一超商	7-11	二十張	新北市新店區二十張路5號1樓	144360              	121.540123	24.982682999999998	(02)29102940        	(02)29101844        	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商二水	統一超商	7-11	二水	彰化縣二水鄉員集路四段8號10號	170646              	120.616113	23.811422999999998	(04)8793484         	(04)8793483         	Y	N	Y	Y	Y	Y	N	Y	Y	N	N	Y	N	N	N	N	Y	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商二甲	統一超商	7-11	二甲	新北市鶯歌區中正三路165號167號	166751              	121.336361	24.939895999999997	(02)26797209        	(02)26708013        	Y	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商二竹	統一超商	7-11	二竹	嘉義縣義竹鄉仁里村423號	131009              	120.24244399999999	23.336527999999998	(05)3414386         	(05)3415852         	Y	Y	Y	N	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商二崙	統一超商	7-11	二崙	雲林縣二崙鄉崙東村中山路一段269號	912112              	120.41384199999999	23.770253999999998	(05)5991711         	(05)5990790         	Y	N	N	Y	Y	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商二橋	統一超商	7-11	二橋	新北市鶯歌區中正三路93號	138549              	121.338269	24.940922999999998	(02)26774894        	(02)26775904        	Y	N	N	Y	Y	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商二鎮	統一超商	7-11	二鎮	台南市官田區二區里工社西街25巷81號	967086              	120.33065599999999	23.221034	(06)6982725         	(06)6989286         	Y	Y	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商人和	統一超商	7-11	人和	屏東縣枋寮鄉人和村中山路二段232號1樓	120788              	120.59535699999999	22.384591999999998	(08)8717610         	(08)8713906         	Y	Y	Y	Y	Y	N	Y	N	Y	N	N	Y	N	N	N	Y	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
